
---------- Begin Simulation Statistics ----------
final_tick                                 2905071000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 105609                       # Simulator instruction rate (inst/s)
host_mem_usage                                 706280                       # Number of bytes of host memory used
host_op_rate                                   189162                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    94.69                       # Real time elapsed on the host
host_tick_rate                               30679959                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      17911641                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.002905                       # Number of seconds simulated
sim_ticks                                  2905071000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   4834179                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4218064                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      17911641                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.581014                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.581014                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  12293624                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  6921652                       # number of floating regfile writes
system.cpu.idleCycles                          141850                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                12461                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1108569                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.134488                       # Inst execution rate
system.cpu.iew.exec_refs                      2767152                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     480552                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  159618                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2299907                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 22                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               893                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               488005                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            18450760                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2286600                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             18578                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18211826                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1298                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 41216                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  11170                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 43146                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            140                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         8307                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           4154                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24943428                       # num instructions consuming a value
system.cpu.iew.wb_count                      18199763                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.573109                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14295296                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.132412                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18204379                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 18581560                       # number of integer regfile reads
system.cpu.int_regfile_writes                 9599586                       # number of integer regfile writes
system.cpu.ipc                               1.721128                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.721128                       # IPC: Total IPC of All Threads
system.tol2bus.snoop_fanout::3                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::4                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::overflows              0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::min_value              0                       # Request fanout histogram
system.tol2bus.snoop_fanout::max_value              1                       # Request fanout histogram
system.tol2bus.snoop_fanout::total              24263                       # Request fanout histogram
system.tol2bus.power_state.pwrStateResidencyTicks::UNDEFINED   2905071000                       # Cumulative time (in ticks) in various power states
system.tol2bus.reqLayer0.occupancy           29868500                       # Layer occupancy (ticks)
system.tol2bus.reqLayer0.utilization              1.0                       # Layer utilization (%)
system.tol2bus.respLayer0.occupancy           3879998                       # Layer occupancy (ticks)
system.tol2bus.respLayer0.utilization             0.1                       # Layer utilization (%)
system.tol2bus.respLayer1.occupancy          22047000                       # Layer occupancy (ticks)
system.tol2bus.respLayer1.utilization             0.8                       # Layer utilization (%)
system.voltage_domain.voltage                       1                       # Voltage in Volts

---------- End Simulation Statistics   ----------
